Region,Population,Under15,Over60,LifeExpectancy,ChildMortality,CellularSubscribers
Africa,892696,40.93782609,5.220652174,57.95652174,84.03695652,63.01804348
Americas,957769,27.43742857,10.94371429,74.34285714,19.32285714,110.2630303
Eastern Mediterranean,612213,30.95409091,5.62,69.59090909,40.25,99.1552381
Europe,904315,18.03943396,19.77490566,76.73584906,10.0509434,117.1060784
South-East Asia,1837111,29.05636364,8.769090909,69.36363636,35.04545455,69.53
Western Pacific,1849731,28.66444444,10.16296296,72.33333333,24.71111111,85.13772727
Grand Total,7053835,28.73242268,11.16365979,70.01030928,36.14896907,93.64152174
